liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date
HUEONE,HUEBLU,2024-01-29
HUEONE,HUEBLU,2024-02-26
HUEONE,HUEBLU,2024-03-25
HUEONE,HUEBLU,2024-04-22
HUEONE,HUEBLU,2024-05-21
HUEONE,HUEBLU,2024-06-17
HUEONE,HUEBLU,2024-07-15
HUEONE,HUEBLU,2024-08-12
HUEONE,HUEBLU,2024-09-09
HUEONE,HUEBLU,2024-10-07
HUEONE,HUEBLU,2024-11-04
HUEONE,HUEBLU,2024-12-02
HUEONE,HUEBLU,2024-12-30

HUETHR,HUEBLU,2024-01-02
HUETHR,HUEBLU,2024-01-29
HUETHR,HUEBLU,2024-02-26
HUETHR,HUEBLU,2024-03-25
HUETHR,HUEBLU,2024-04-22
HUETHR,HUEBLU,2024-05-21
HUETHR,HUEBLU,2024-06-17
HUETHR,HUEBLU,2024-07-15
HUETHR,HUEBLU,2024-08-12
HUETHR,HUEBLU,2024-09-09
HUETHR,HUEBLU,2024-10-07
HUETHR,HUEBLU,2024-11-04
HUETHR,HUEBLU,2024-12-02
HUETHR,HUEBLU,2024-12-30

HUETWO,HUEBLU,2024-01-15
HUETWO,HUEBLU,2024-02-13
HUETWO,HUEBLU,2024-03-11
HUETWO,HUEBLU,2024-04-08
HUETWO,HUEBLU,2024-05-06
HUETWO,HUEBLU,2024-06-03
HUETWO,HUEBLU,2024-07-01
HUETWO,HUEBLU,2024-07-29
HUETWO,HUEBLU,2024-08-26
HUETWO,HUEBLU,2024-09-23
HUETWO,HUEBLU,2024-10-21
HUETWO,HUEBLU,2024-11-18
HUETWO,HUEBLU,2024-12-16

HUEFOU,HUEBLU,2024-01-15
HUEFOU,HUEBLU,2024-02-13
HUEFOU,HUEBLU,2024-03-11
HUEFOU,HUEBLU,2024-04-08
HUEFOU,HUEBLU,2024-05-06
HUEFOU,HUEBLU,2024-06-03
HUEFOU,HUEBLU,2024-07-01
HUEFOU,HUEBLU,2024-07-29
HUEFOU,HUEBLU,2024-08-26
HUEFOU,HUEBLU,2024-09-23
HUEFOU,HUEBLU,2024-10-21
HUEFOU,HUEBLU,2024-11-18
HUEFOU,HUEBLU,2024-12-16

HUEFIV,HUEBLU,2024-01-15
HUEFIV,HUEBLU,2024-02-13
HUEFIV,HUEBLU,2024-03-11
