liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date
HUECKTHR,HUEPABLU,2024-08-12
HUECKTHR,HUEPABLU,2024-09-09
HUECKTHR,HUEPABLU,2024-10-07
HUECKTHR,HUEPABLU,2024-11-04
HUECKTHR,HUEPABLU,2024-12-02
HUECKTHR,HUEPABLU,2024-12-30

HUECKTWO,HUEPABLU,2024-01-15
HUECKTWO,HUEPABLU,2024-02-13
HUECKTWO,HUEPABLU,2024-03-11
HUECKTWO,HUEPABLU,2024-04-08
HUECKTWO,HUEPABLU,2024-05-06
HUECKTWO,HUEPABLU,2024-06-03
HUECKTWO,HUEPABLU,2024-07-01
HUECKTWO,HUEPABLU,2024-07-29
HUECKTWO,HUEPABLU,2024-08-26
HUECKTWO,HUEPABLU,2024-09-23
HUECKTWO,HUEPABLU,2024-10-21
HUECKTWO,HUEPABLU,2024-11-18
HUECKTWO,HUEPABLU,2024-12-16

HUECKFOU,HUEPABLU,2024-01-15
HUECKFOU,HUEPABLU,2024-02-13
HUECKFOU,HUEPABLU,2024-03-11
HUECKFOU,HUEPABLU,2024-04-08
HUECKFOU,HUEPABLU,2024-05-06
HUECKFOU,HUEPABLU,2024-06-03
HUECKFOU,HUEPABLU,2024-07-01
HUECKFOU,HUEPABLU,2024-07-29
HUECKFOU,HUEPABLU,2024-08-26
HUECKFOU,HUEPABLU,2024-09-23
HUECKFOU,HUEPABLU,2024-10-21
HUECKFOU,HUEPABLU,2024-11-18
HUECKFOU,HUEPABLU,2024-12-16

HUECKFIV,HUEPABLU,2024-01-15
HUECKFIV,HUEPABLU,2024-02-13
HUECKFIV,HUEPABLU,2024-03-11
HUECKFIV,HUEPABLU,2024-04-08
HUECKFIV,HUEPABLU,2024-05-06
HUECKFIV,HUEPABLU,2024-06-03
HUECKFIV,HUEPABLU,2024-07-01
HUECKFIV,HUEPABLU,2024-07-29
HUECKFIV,HUEPABLU,2024-08-26
HUECKFIV,HUEPABLU,2024-09-23
HUECKFIV,HUEPABLU,2024-10-21
HUECKFIV,HUEPABLU,2024-11-18
HUECKFIV,HUEPABLU,2024-12-16

HUECKSIX,HUEPABLU,2024-01-15
HUECKSIX,HUEPABLU,2024-02-13
HUECKSIX,HUEPABLU,2024-03-11
HUECKSIX,HUEPABLU,2024-04-08
HUECKSIX,HUEPABLU,2024-05-06
HUECKSIX,HUEPABLU,2024-06-03
HUECKSIX,HUEPABLU,2024-07-01
HUECKSIX,HUEPABLU,2024-07-29
HUECKSIX,HUEPABLU,2024-08-26
HUECKSIX,HUEPABLU,2024-09-23
HUECKSIX,HUEPABLU,2024-10-21
HUECKSIX,HUEPABLU,2024-11-18
HUECKSIX,HUEPABLU,2024-12-16

HUECKONE,HUEGRGRE,2024-01-08
HUECKONE,HUEGRGRE,2024-03-18
HUECKONE,HUEGRGRE,2024-10-14

HUECKTWO,HUEGRGRE,2024-01-09
HUECKTWO,HUEGRGRE,2024-03-19
HUECKTWO,HUEGRGRE,2024-10-15

HUECKTHR,HUEGRGRE,2024-01-10
HUECKTHR,HUEGRGRE,2024-03-20
HUECKTHR,HUEGRGRE,2024-10-16

HUECKFOU,HUEGRGRE,2024-01-11
HUECKFOU,HUEGRGRE,2024-03-21
HUECKFOU,HUEGRGRE,2024-10-17

HUECKFIV,HUEGRGRE,2024-01-12
HUECKFIV,HUEGRGRE,2024-03-22
HUECKFIV,HUEGRGRE,2024-10-18

HUECKSIX,HUEGRGRE,2024-01-12
HUECKSIX,HUEGRGRE,2024-03-22
HUECKSIX,HUEGRGRE,2024-10-18

HUECKONE,HUELEYEL,2024-01-04
HUECKONE,HUELEYEL,2024-01-17
HUECKONE,HUELEYEL,2024-01-31
HUECKONE,HUELEYEL,2024-02-15
HUECKONE,HUELEYEL,2024-02-28
HUECKONE,HUELEYEL,2024-03-13
HUECKONE,HUELEYEL,2024-03-27
HUECKONE,HUELEYEL,2024-04-10
HUECKONE,HUELEYEL,2024-04-24
HUECKONE,HUELEYEL,2024-05-08
HUECKONE,HUELEYEL,2024-05-23
HUECKONE,HUELEYEL,2024-06-05
HUECKONE,HUELEYEL,2024-06-19
HUECKONE,HUELEYEL,2024-07-03
HUECKONE,HUELEYEL,2024-07-17
HUECKONE,HUELEYEL,2024-07-31
HUECKONE,HUELEYEL,2024-08-14
HUECKONE,HUELEYEL,2024-08-28
HUECKONE,HUELEYEL,2024-09-11
HUECKONE,HUELEYEL,2024-09-25
HUECKONE,HUELEYEL,2024-10-09
HUECKONE,HUELEYEL,2024-10-23
HUECKONE,HUELEYEL,2024-11-06
HUECKONE,HUELEYEL,2024-11-20
HUECKONE,HUELEYEL,2024-12-04
HUECKONE,HUELEYEL,2024-12-18

HUECKFIV,HUELEYEL,2024-01-04
HUECKFIV,HUELEYEL,2024-01-17
HUECKFIV,HUELEYEL,2024-01-31
HUECKFIV,HUELEYEL,2024-02-15
HUECKFIV,HUELEYEL,2024-02-28
HUECKFIV,HUELEYEL,2024-03-13
HUECKFIV,HUELEYEL,2024-03-27
HUECKFIV,HUELEYEL,2024-04-10
